  -3.8216338e+00   4.8391568e+00   8.4626033e-01
  -3.6447565e+00   4.5765080e+00   1.2163188e+00
  -3.4626134e+00   4.3111269e+00   1.5840832e+00
  -3.2771124e+00   4.0456514e+00   1.9484495e+00
  -3.0899397e+00   3.7823444e+00   2.3082045e+00
  -2.9025589e+00   3.5231011e+00   2.6620437e+00
  -2.7162146e+00   3.2694645e+00   3.0085913e+00
  -2.5319397e+00   3.0226454e+00   3.3464218e+00
  -2.3505665e+00   2.7835468e+00   3.6740816e+00
  -2.1727396e+00   2.5527908e+00   3.9901097e+00
  -1.9989302e+00   2.3307474e+00   4.2930574e+00
  -1.8294519e+00   2.1175627e+00   4.5815066e+00
  -1.6644765e+00   1.9131875e+00   4.8540850e+00
  -1.5040497e+00   1.7174040e+00   5.1094814e+00
  -1.3481060e+00   1.5298511e+00   5.3464571e+00
  -1.1964836e+00   1.3500473e+00   5.5638569e+00
  -1.0489378e+00   1.1774117e+00   5.7606175e+00
  -9.0515339e-01   1.0112821e+00   5.9357751e+00
  -7.6475613e-01   8.5093079e-01   6.0884715e+00
  -6.2732297e-01   6.9557863e-01   6.2179584e+00
  -4.9239139e-01   5.4440624e-01   6.3236020e+00
  -3.5946766e-01   3.9656398e-01   6.4048856e+00
  -2.2803442e-01   2.5118001e-01   6.4614120e+00
  -9.7557508e-02   1.0736733e-01   6.4929052e+00
   3.2507716e-02  -3.5770345e-02   6.4992115e+00
   1.6271029e-01  -1.7913313e-01   6.4803002e+00
   2.9359780e-01  -3.2361986e-01   6.4362635e+00
   4.2571040e-01  -4.7012290e-01   6.3673164e+00
   5.5957470e-01  -6.1952246e-01   6.2737957e+00
   6.9569712e-01  -7.7268021e-01   6.1561584e+00
   8.3455678e-01  -9.3043177e-01   6.0149803e+00
   9.7659755e-01  -1.0935778e+00   5.8509529e+00
   1.1222193e+00  -1.2628732e+00   5.6648797e+00
   1.2717681e+00  -1.4390147e+00   5.4576727e+00
