   8.5014035e-01  -2.0938548e-19  -4.1348838e-01
   8.4996983e-01   1.7863894e-02  -4.1357845e-01
   8.4942383e-01   3.5720615e-02  -4.1367044e-01
   8.4850256e-01   5.3562268e-02  -4.1376418e-01
   8.4720639e-01   7.1380963e-02  -4.1385950e-01
   8.4553588e-01   8.9168819e-02  -4.1395621e-01
   8.4349173e-01   1.0691797e-01  -4.1405416e-01
   8.4107484e-01   1.2462055e-01  -4.1415316e-01
   8.3828624e-01   1.4226874e-01  -4.1425303e-01
   8.3512715e-01   1.5985473e-01  -4.1435359e-01
   8.3159895e-01   1.7737073e-01  -4.1445468e-01
   8.2770316e-01   1.9480899e-01  -4.1455612e-01
   8.2344151e-01   2.1216179e-01  -4.1465774e-01
   8.1881585e-01   2.2942144e-01  -4.1475936e-01
   8.1382822e-01   2.4658032e-01  -4.1486083e-01
   8.0848080e-01   2.6363081e-01  -4.1496199e-01
   8.0277596e-01   2.8056538e-01  -4.1506267e-01
   7.9671620e-01   2.9737652e-01  -4.1516273e-01
   7.9030418e-01   3.1405679e-01  -4.1526203e-01
   7.8354274e-01   3.3059880e-01  -4.1536041e-01
   7.7643485e-01   3.4699524e-01  -4.1545776e-01
   7.6898366e-01   3.6323883e-01  -4.1555393e-01
   7.6119244e-01   3.7932240e-01  -4.1564883e-01
   7.5306465e-01   3.9523882e-01  -4.1574232e-01
   7.4460386e-01   4.1098104e-01  -4.1583432e-01
   7.3581382e-01   4.2654209e-01  -4.1592472e-01
   7.2669841e-01   4.4191509e-01  -4.1601344e-01
   7.1726165e-01   4.5709323e-01  -4.1610040e-01
   7.0750773e-01   4.7206980e-01  -4.1618554e-01
   6.9744094e-01   4.8683817e-01  -4.1626879e-01
   6.8706575e-01   5.0139179e-01  -4.1635011e-01
   6.7638673e-01   5.1572424e-01  -4.1642945e-01
   6.6540861e-01   5.2982916e-01  -4.1650678e-01
   6.5413624e-01   5.4370033e-01  -4.1658209e-01
   6.4257461e-01   5.5733160e-01  -4.1665536e-01
   6.3072883e-01   5.7071695e-01  -4.1672658e-01
   6.1860413e-01   5.8385044e-01  -4.1679576e-01
   6.0620589e-01   5.9672628e-01  -4.1686292e-01
   5.9353957e-01   6.0933878e-01  -4.1692808e-01
   5.8061078e-01   6.2168234e-01  -4.1699128e-01
   5.6742523e-01   6.3375152e-01  -4.1705255e-01
   5.5398876e-01   6.4554098e-01  -4.1711194e-01
   5.4030730e-01   6.5704550e-01  -4.1716952e-01
   5.2638691e-01   6.6826001e-01  -4.1722534e-01
   5.1223372e-01   6.7917953e-01  -4.1727947e-01
   4.9785401e-01   6.8979925e-01  -4.1733200e-01
   4.8325412e-01   7.0011446e-01  -4.1738301e-01
   4.6844051e-01   7.1012061e-01  -4.1743259e-01
   4.5341972e-01   7.1981328e-01  -4.1748082e-01
   4.3819839e-01   7.2918817e-01  -4.1752782e-01
   4.2278324e-01   7.3824114e-01  -4.1757369e-01
   4.0718109e-01   7.4696819e-01  -4.1761853e-01
   3.9139883e-01   7.5536545e-01  -4.1766245e-01
   3.7544343e-01   7.6342922e-01  -4.1770557e-01
   3.5932194e-01   7.7115593e-01  -4.1774800e-01
   3.4304148e-01   7.7854215e-01  -4.1778986e-01
   3.2660925e-01   7.8558461e-01  -4.1783126e-01
   3.1003250e-01   7.9228021e-01  -4.1787232e-01
   2.9331855e-01   7.9862597e-01  -4.1791316e-01
   2.7647480e-01   8.0461908e-01  -4.1795390e-01
   2.5950867e-01   8.1025688e-01  -4.1799464e-01
   2.4242767e-01   8.1553689e-01  -4.1803550e-01
   2.2523934e-01   8.2045674e-01  -4.1807659e-01
   2.0795128e-01   8.2501427e-01  -4.1811801e-01
   1.9057112e-01   8.2920744e-01  -4.1815987e-01
   1.7310654e-01   8.3303439e-01  -4.1820226e-01
   1.5556526e-01   8.3649343e-01  -4.1824527e-01
   1.3795503e-01   8.3958300e-01  -4.1828900e-01
   1.2028364e-01   8.4230173e-01  -4.1833353e-01
   1.0255888e-01   8.4464841e-01  -4.1837892e-01
   8.4788613e-02   8.4662198e-01  -4.1842525e-01
   6.6980676e-02   8.4822156e-01  -4.1847257e-01
   4.9142946e-02   8.4944643e-01  -4.1852096e-01
   3.1283311e-02   8.5029603e-01  -4.1857044e-01
   1.3409669e-02   8.5076998e-01  -4.1862105e-01
  -4.4700759e-03   8.5086804e-01  -4.1867284e-01
  -2.2348015e-02   8.5059016e-01  -4.1872581e-01
  -4.0216238e-02   8.4993645e-01  -4.1877998e-01
  -5.8066842e-02   8.4890718e-01  -4.1883536e-01
  -7.5891925e-02   8.4750279e-01  -4.1889194e-01
  -9.3683601e-02   8.4572389e-01  -4.1894970e-01
  -1.1143399e-01   8.4357126e-01  -4.1900863e-01
  -1.2913525e-01   8.4104582e-01  -4.1906868e-01
  -1.4677952e-01   8.3814869e-01  -4.1912983e-01
  -1.6435901e-01   8.3488113e-01  -4.1919201e-01
  -1.8186591e-01   8.3124458e-01  -4.1925516e-01
  -1.9929249e-01   8.2724063e-01  -4.1931923e-01
  -2.1663103e-01   8.2287105e-01  -4.1938413e-01
  -2.3387383e-01   8.1813775e-01  -4.1944979e-01
  -2.5101326e-01   8.1304282e-01  -4.1951609e-01
  -2.6804173e-01   8.0758851e-01  -4.1958295e-01
  -2.8495170e-01   8.0177723e-01  -4.1965026e-01
  -3.0173566e-01   7.9561154e-01  -4.1971790e-01
  -3.1838618e-01   7.8909416e-01  -4.1978574e-01
  -3.3489587e-01   7.8222798e-01  -4.1985367e-01
  -3.5125743e-01   7.7501602e-01  -4.1992154e-01
  -3.6746360e-01   7.6746149e-01  -4.1998922e-01
  -3.8350720e-01   7.5956772e-01  -4.2005656e-01
  -3.9938111e-01   7.5133822e-01  -4.2012341e-01
  -4.1507830e-01   7.4277661e-01  -4.2018962e-01
  -4.3059181e-01   7.3388671e-01  -4.2025504e-01
  -4.4591476e-01   7.2467244e-01  -4.2031950e-01
  -4.6104037e-01   7.1513790e-01  -4.2038284e-01
  -4.7596193e-01   7.0528731e-01  -4.2044491e-01
  -4.9067283e-01   6.9512504e-01  -4.2050553e-01
  -5.0516655e-01   6.8465559e-01  -4.2056455e-01
  -5.1943667e-01   6.7388363e-01  -4.2062180e-01
  -5.3347687e-01   6.6281392e-01  -4.2067712e-01
  -5.4728093e-01   6.5145138e-01  -4.2073034e-01
  -5.6084275e-01   6.3980105e-01  -4.2078132e-01
  -5.7415631e-01   6.2786811e-01  -4.2082989e-01
